3,-89.86
-74.08,-107.03,-91.95
-76.40,-105.49,-93.81
-76.94,-105.48,-95.34
-76.19,-106.41,-95.86
-70.88,-111.35,-94.17
-60.21,-64.18,-85.38
-33.92,-53.82,-77.64
-2.19,-34.94,-74.49
39.65,-17.66,-64.37
59.73,-1.77,-53.98
71.10,10.40,-40.97
76.17,19.07,-28.34
76.37,24.08,-11.60
71.70,28.65,1.46
63.17,34.17,12.08
49.06,39.86,19.85
29.52,43.88,19.16
9.48,44.19,9.44
-7.54,38.21,-5.15
-20.28,23.00,-16.53
-28.58,3.60,-26.03
-35.72,-16.03,-35.47
-42.04,-34.65,-42.30
-47.19,-49.23,-52.73
-50.60,-55.62,-68.66
-54.11,-55.85,-85.79
-54.11,-55.85,-85.79
-54.11,-55.85,-85.79
-46.96,-58.55,-84.95
-16.31,-61.22,-79.67
-39.29,-62.11,-82.98
-66.56,-117.59,-93.50
-67.36,-116.44,-93.42
-68.51,-115.73,-94.15
-69.31,-115.78,-95.26
-69.56,-115.94,-95.56
